Name,Fulladdress,Street,Municipality,Categories,Phone,Phones,Claimed,Review Count,Average Rating,Review URL,Google Maps URL,Latitude,Longitude,Website,Domain,Opening hours,Featured image,Cid,Place Id,Kgmid,Plus code,Google Knowledge URL,Email,Social Medias,Facebook,Instagram,Twitter,Yelp
"Pantaloons (DLF Mall of India, Noida)","Dlf Mall Of India, Plot No 03, Block M, Sector 18, Located, Noida, Uttar Pradesh 201301",Dlf Mall Of India,Plot No 03,"Clothing store,Baby clothing store,Casual Clothing Store,Formal Clothing Store,Men's clothing store,Western apparel store,Women's clothing store",092055 28313,"092055 28313, +91 92055 28313",YES,225,4.2,https://search.google.com/local/reviews?placeid=ChIJK_DeCKDlDDkRIjXR4QDF1rg&q=Pantaloons&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=13319049555574076706,28.567096199999998,77.3205919,https://stores.pantaloons.com/pantaloons/stores-in-noida/stores-in-sector-18/pantaloons-in-sector-18-noida--f3838f20-67ad-4d87-8fb6-fbb2b6a5f3cc/home,stores.pantaloons.com,"Tuesday:[11 am–9:30 pm], Wednesday:[11 am–9:30 pm], Thursday:[11 am–9:30 pm], Friday:[11 am–9:30 pm], Saturday:[11 am–9:30 pm], Sunday:[11 am–9:30 pm], Monday:[11 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipPxvzlmTErtybZlzq9a05wfrjdc16qy5N7CFqeY=w138-h92-k-no,13319049555574076706,ChIJK_DeCKDlDDkRIjXR4QDF1rg,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Pantaloons (The Great India Palace Mall, Noida)","Great India Place, Plot No A2, near by Metro Station, Sector 38, Greater Noida, Noida, Uttar Pradesh 201301",Great India Place,Plot No A2,"Clothing store,Baby clothing store,Casual Clothing Store,Formal Clothing Store,Men's clothing store,Western apparel store,Women's clothing store",076693 41493,"076693 41493, +91 76693 41493",YES,4608,4.1,https://search.google.com/local/reviews?placeid=ChIJ24hXfknkDDkRZS0LFaC5P80&q=Pantaloons&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14789743798506958181,28.5681531,77.32679379999999,https://stores.pantaloons.com/pantaloons/stores-in-greater-noida/stores-in-sector-38/pantaloons-in-sector-38-greater-noida--a99d6508-0f7d-4f84-927d-12ec45eda934/home,stores.pantaloons.com,"Tuesday:[10:30 am–10:30 pm], Wednesday:[10:30 am–10:30 pm], Thursday:[10:30 am–10:30 pm], Friday:[10:30 am–10:30 pm], Saturday:[10:30 am–10:30 pm], Sunday:[10:30 am–10:30 pm], Monday:[10:30 am–10:30 pm]",https://lh5.googleusercontent.com/p/AF1QipMfPO8SlJ2XYrnKX_EOKjehEJzcqLOLx44vvU2Q=w122-h92-k-no,14789743798506958181,ChIJ24hXfknkDDkRZS0LFaC5P80,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Pantaloons (Indirapuram, Ghaziabad)","Level 2, Shipra Mall, Plot No 9, Second Floor, opposite Saya Building, Vaibhav Khand, Indirapuram, Ghaziabad, Uttar Pradesh 201014","Level 2, Shipra Mall","Plot No 9, Second Floor","Clothing store,Baby clothing store,Casual Clothing Store,Formal Clothing Store,Men's clothing store,Western apparel store,Women's clothing store",089293 01618,"089293 01618, +91 89293 01618",YES,1378,4.2,https://search.google.com/local/reviews?placeid=ChIJtwNIrVPlDDkRJHcSsuGzJ8Q&q=Pantaloons&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14134463737462159140,28.634025599999998,77.3703532,https://stores.pantaloons.com/pantaloons/stores-in-ghaziabad/stores-in-indirapuram/pantaloons-in-indirapuram-ghaziabad--39d4c4b5-ec03-4229-a385-ef1d50ee5147/home,stores.pantaloons.com,"Tuesday:[11 am–9:30 pm], Wednesday:[11 am–9:30 pm], Thursday:[11 am–9:30 pm], Friday:[11 am–9:30 pm], Saturday:[11 am–9:30 pm], Sunday:[11 am–9:30 pm], Monday:[11 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipMVMnN_05-Z-feMnALTBfWsVsbf1CHNL9aTwyHN=w122-h92-k-no,14134463737462159140,ChIJtwNIrVPlDDkRJHcSsuGzJ8Q,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Pantaloons (Logix City Centre Mall, Noida)","Ground Floor & First Floor, Logix Mall, BW 58, opposite to Shoppers Stop, Wave City Center, Sector 32, Greater Noida, Noida, Uttar Pradesh 201301",Ground Floor & First Floor,Logix Mall,"Clothing store,Baby clothing store,Casual Clothing Store,Children's clothing store,Clothing Accessories Store,Formal Clothing Store,Men's clothing store,Plus Size Clothing Store,Shoe store,Women's clothing store",070602 07755,"070602 07755, +91 70602 07755",YES,696,4.1,https://search.google.com/local/reviews?placeid=ChIJt4SHJAHlDDkR6r4sGRH2bxQ&q=Pantaloons&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1472666156470681322,28.5742746,77.3536238,https://stores.pantaloons.com/pantaloons/stores-in-greater-noida/stores-in-sector-32/pantaloons-in-sector-32-greater-noida--9032197f-e701-4e29-9085-1bf009010273/home,stores.pantaloons.com,"Tuesday:[11 am–10 pm], Wednesday:[11 am–10 pm], Thursday:[11 am–10 pm], Friday:[11 am–10 pm], Saturday:[11 am–10 pm], Sunday:[11 am–10 pm], Monday:[11 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipOWQhzZl7J1r5fpRTULagTAppWV9H1d0jBoJSRX=w163-h92-k-no,1472666156470681322,ChIJt4SHJAHlDDkR6r4sGRH2bxQ,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Pantaloons (Pacific Mall, Ghaziabad)","No 1, Site, 4/29, Pacific Mall, First Floor, Plot, opposite Titan Watch Store, Sahibabad, Ghaziabad, Uttar Pradesh 201010","No 1, Site, 4/29","Pacific Mall, First Floor, Plot","Clothing store,Baby clothing store,Casual Clothing Store,Formal Clothing Store,Men's clothing store,Western apparel store,Women's clothing store",076693 41495,"076693 41495, +91 76693 41495",YES,619,4.6,https://search.google.com/local/reviews?placeid=ChIJDwN172r7DDkR_YTk3Y0vRH4&q=Pantaloons&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=9098449433554879741,28.646198799999997,77.3204864,https://stores.pantaloons.com/pantaloons/stores-in-ghaziabad/stores-in-sahibabad/pantaloons-in-sahibabad-ghaziabad--ff455137-cc37-46b9-8cbd-2809ad234d93/home,stores.pantaloons.com,"Tuesday:[11 am–9:30 pm], Wednesday:[11 am–9:30 pm], Thursday:[11 am–9:30 pm], Friday:[11 am–9:30 pm], Saturday:[11 am–9:30 pm], Sunday:[11 am–9:30 pm], Monday:[11 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipPN-OSR7bmK5GK4PoshLffrxK4dDUgYTvxoo0pS=w162-h92-k-no,9098449433554879741,ChIJDwN172r7DDkR_YTk3Y0vRH4,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Pantaloons (Karol Bagh, New Delhi)","Plot No 45/46, near Mcdonalds, Block 5, WEA, Karol Bagh, New Delhi, Delhi, 110005",Plot No 45/46,near Mcdonalds,"Clothing store,Baby clothing store,Casual Clothing Store,Formal Clothing Store,Men's clothing store,Western apparel store,Women's clothing store",097183 64361,"097183 64361, +91 97183 64361",YES,1293,4.1,https://search.google.com/local/reviews?placeid=ChIJK6rxNrEDDTkRPtN5wNvkI7I&q=Pantaloons&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=12836354995414225726,28.6475184,77.1900732,https://stores.pantaloons.com/pantaloons/stores-in-new-delhi/stores-in-karol-bagh/pantaloons-in-karol-bagh-new-delhi--243d56d9-82c9-4516-b1f5-059fc714bfb7/home,stores.pantaloons.com,"Tuesday:[11 am–9:30 pm], Wednesday:[11 am–9:30 pm], Thursday:[11 am–9:30 pm], Friday:[11 am–9:30 pm], Saturday:[11 am–9:30 pm], Sunday:[11 am–9:30 pm], Monday:[11 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipPlFNQicNvJDTIZVxwSKer40NhTZUymX70w6GvN=w122-h92-k-no,12836354995414225726,ChIJK6rxNrEDDTkRPtN5wNvkI7I,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Pantaloons (South Extension, New Delhi)","Plot No D4, near Kalyan Jewellers, South Extension, Part 2, New Delhi, Delhi 110049",Plot No D4,near Kalyan Jewellers,"Clothing store,Baby clothing store,Casual Clothing Store,Formal Clothing Store,Men's clothing store,Western apparel store,Women's clothing store",011 4663 1250,"011 4663 1250, +91 11 4663 1250",YES,2628,4.2,https://search.google.com/local/reviews?placeid=ChIJEaJgqIjjDDkR6OtmGkqHBJU&q=Pantaloons&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=10737856163898387432,28.5682211,77.2219554,https://stores.pantaloons.com/pantaloons/stores-in-new-delhi/stores-in-south-extension/pantaloons-in-south-extension-new-delhi--8b719773-9e27-4f34-bf44-f9134decc43a/home,stores.pantaloons.com,"Tuesday:[10 am–10 pm], Wednesday:[10 am–10 pm], Thursday:[10 am–10 pm], Friday:[10 am–10 pm], Saturday:[10 am–10 pm], Sunday:[10 am–10 pm], Monday:[10 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipMFn2hvG26RtYlLzaQrznZZ5GkXpcDzsJRKedgN=w163-h92-k-no,10737856163898387432,ChIJEaJgqIjjDDkR6OtmGkqHBJU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Pantaloons (East Delhi Mall, Ghaziabad)","Ground Floor, East Delhi Mall, Plot No 1, beside Delhi Entry Gate, Anand Vihar, Kaushambi, Ghaziabad, Uttar Pradesh 201010",Ground Floor,East Delhi Mall,"Clothing store,Baby clothing store,Casual Clothing Store,Formal Clothing Store,Men's clothing store,Western apparel store,Women's clothing store",089299 63443,"089299 63443, +91 89299 63443",YES,1423,4.9,https://search.google.com/local/reviews?placeid=ChIJScvJp0r7DDkRS6pFLNGgVBE&q=Pantaloons&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=1248799816939842123,28.641669999999998,77.3165693,https://stores.pantaloons.com/pantaloons/stores-in-ghaziabad/stores-in-kaushambi/pantaloons-in-kaushambi-ghaziabad--fb8110d7-99e5-4385-9ea8-026ed7093408/home,stores.pantaloons.com,"Tuesday:[11 am–9:30 pm], Wednesday:[11 am–9:30 pm], Thursday:[11 am–9:30 pm], Friday:[11 am–9:30 pm], Saturday:[11 am–9:30 pm], Sunday:[11 am–9:30 pm], Monday:[11 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipO2y-EhKBNBk_bqEURDSNNUUj4pJAvc3G6dE-fi=w122-h92-k-no,1248799816939842123,ChIJScvJp0r7DDkRS6pFLNGgVBE,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Pantaloons (Gaur City Mall, Greater Noida)","Mall, Plot No C 01B, LGF, Gaur City, GH 01, Gaur City 1 Rd, next to Chroma, Sector 4, Ghaziabad, Uttar Pradesh 201301","Mall, Plot No C 01B","LGF, Gaur City","Clothing store,Baby clothing store,Casual Clothing Store,Formal Clothing Store,Men's clothing store,Western apparel store,Women's clothing store",078274 67399,"078274 67399, +91 78274 67399",YES,530,4.2,https://search.google.com/local/reviews?placeid=ChIJV90-JJPvDDkR5PAQJTo4vyU&q=Pantaloons&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=2719954522336194788,28.6056898,77.42973839999999,https://stores.pantaloons.com/pantaloons/stores-in-ghaziabad/stores-in-sector-4/pantaloons-in-sector-4-ghaziabad--05dfe4e7-38d5-40fc-865d-a3a82b22ed46/home,stores.pantaloons.com,"Tuesday:[11 am–9:30 pm], Wednesday:[11 am–9:30 pm], Thursday:[11 am–9:30 pm], Friday:[11 am–9:30 pm], Saturday:[11 am–9:30 pm], Sunday:[11 am–9:30 pm], Monday:[11 am–9:30 pm]",https://lh5.googleusercontent.com/p/AF1QipPSPwF4XVucYDPQ2-qfiZql97C8wYczVhO913qt=w163-h92-k-no,2719954522336194788,ChIJV90-JJPvDDkR5PAQJTo4vyU,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
"Pantaloons (Dwarka Sector 13, Radisson Hotel Soul City)","Ground Floor, Hotel, Dwarka Soul City Mall, Plot No 4, beside Radisson Blu, Sector 13, Dwarka, New Delhi, Delhi, 110075","Ground Floor, Hotel",Dwarka Soul City Mall,"Clothing store,Baby clothing store,Casual Clothing Store,Formal Clothing Store,Men's clothing store,Western apparel store,Women's clothing store",076690 08454,"076690 08454, +91 76690 08454",YES,4145,4.6,https://search.google.com/local/reviews?placeid=ChIJS4BQlt8aDTkRl9IdXA0f8MY&q=Pantaloons&authuser=0&hl=en&gl=IN,https://www.google.com/maps?cid=14334991756160782999,28.596187099999998,77.0364912,https://stores.pantaloons.com/pantaloons/stores-in-new-delhi/stores-in-dwarka/pantaloons-in-dwarka-new-delhi--01316101-a139-4dbd-bb6f-be6c7e13824b/home,stores.pantaloons.com,"Tuesday:[11 am–10 pm], Wednesday:[11 am–10 pm], Thursday:[11 am–10 pm], Friday:[11 am–10 pm], Saturday:[11 am–10 pm], Sunday:[11 am–10 pm], Monday:[11 am–10 pm]",https://lh5.googleusercontent.com/p/AF1QipPqT2f3DvOpTanpSGj4_u7j0yUALNPWapbNZUH3=w122-h92-k-no,14334991756160782999,ChIJS4BQlt8aDTkRl9IdXA0f8MY,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***,*** Visible after upgrade ***
